Unidad,2019,2018,2017,2016,2015
37004 Ahigal de Villarino,.,.,.,.,.
3700401 Ahigal de Villarino distrito 01,.,.,.,.,.
3700401001 Ahigal de Villarino sección 01001,.,.,.,.,.
06003 Ahillones,9960,9619,9221,8771,8701
0600301 Ahillones distrito 01,9960,9619,9221,8771,8701
0600301001 Ahillones sección 01001,9960,9619,9221,8771,8701
20016 Aia,14510,13844,13565,13196,.
2001601 Aia distrito 01,14510,13844,13565,13196,.
2001601001 Aia sección 01001,14390,13371,13055,12708,.
2001601002 Aia sección 01002,14653,14416,14183,13802,.
31009 Aibar/Oibar,.,.,.,14357,13845
3100901 Aibar/Oibar distrito 01,.,.,.,14357,13845
3100901001 Aibar/Oibar sección 01001,.,.,.,14357,13845
46042 Aielo de Malferit,10804,10192,9603,9417,9132
4604201 Aielo de Malferit distrito 01,10804,10192,9603,9417,9132
4604201001 Aielo de Malferit sección 01001,10702,10180,9559,9466,8928
4604201002 Aielo de Malferit sección 01002,10884,10202,9639,9378,9297
46043 Aielo de Rugat,14605,15111,14150,12761,12583
4604301 Aielo de Rugat distrito 01,14605,15111,14150,12761,12583
4604301001 Aielo de Rugat sección 01001,14605,15111,14150,12761,12583
08014 Aiguafreda,15172,14442,13863,13234,12839
0801401 Aiguafreda distrito 01,15172,14442,13863,13234,12839
0801401001 Aiguafreda sección 01001,15172,14442,13863,13234,12839
43001 Aiguamúrcia,11700,11678,10614,10343,10367
4300101 Aiguamúrcia distrito 01,11700,11678,10614,10343,10367
4300101001 Aiguamúrcia sección 01001,11700,11678,10614,10343,10367
17002 Aiguaviva,16464,15900,15546,14676,14707
1700201 Aiguaviva distrito 01,16464,15900,15546,14676,14707
1700201001 Aiguaviva sección 01001,16464,15900,15546,14676,14707
03004 Aigües,11452,10799,10588,10008,10220
0300401 Aigües distrito 01,11452,10799,10588,10008,10220
0300401001 Aigües sección 01001,11452,10799,10588,10008,10220
12002 Aín,14950,13986,12836,12418,11848
1200201 Aín distrito 01,14950,13986,12836,12418,11848
1200201001 Aín sección 01001,14950,13986,12836,12418,11848
22907 Aínsa-Sobrarbe,12461,12155,11510,11038,10786
2290701 Aínsa-Sobrarbe distrito 01,12461,12155,11510,11038,10786
2290701001 Aínsa-Sobrarbe sección 01001,12461,12155,11510,11038,10786
50006 Ainzón,12420,12059,11458,10838,10682
5000601 Ainzón distrito 01,12420,12059,11458,10838,10682
5000601001 Ainzón sección 01001,12420,12059,11458,10838,10682
22006 Aisa,15270,15039,13676,13260,12787
2200601 Aisa distrito 01,15270,15039,13676,13260,12787
2200601001 Aisa sección 01001,15270,15039,13676,13260,12787
25038 Aitona,10304,10010,9057,9212,9310
2503801 Aitona distrito 01,10304,10010,9057,9212,9310
2503801001 Aitona sección 01001,10715,10360,9600,9356,9195
2503801002 Aitona sección 01002,9968,9707,8588,9090,9410
20003 Aizarnazabal,14763,13750,13323,12996,.
2000301 Aizarnazabal distrito 01,14763,13750,13323,12996,.
2000301001 Aizarnazabal sección 01001,14763,13750,13323,12996,.
28002 Ajalvir,14269,13421,12928,12088,12338
2800201 Ajalvir distrito 01,14269,13421,12928,12088,12338
2800201001 Ajalvir sección 01001,14865,14253,13581,12849,13029
2800201002 Ajalvir sección 01002,13792,12767,12407,11507,11804
26004 Ajamil de Cameros,.,.,.,.,.
2600401 Ajamil de Cameros distrito 01,.,.,.,.,.
2600401001 Ajamil de Cameros sección 01001,.,.,.,.,.
48911 Ajangiz,17767,17170,17140,16871,16048
4891101 Ajangiz distrito 01,17767,17170,17140,16871,16048
4891101001 Ajangiz sección 01001,17767,17170,17140,16871,16048
45001 Ajofrín,9837,9055,8689,8263,8048
4500101 Ajofrín distrito 01,9837,9055,8689,8263,8048
4500101001 Ajofrín sección 01001,9692,8854,8532,8120,7860
4500101002 Ajofrín sección 01002,10072,9386,8945,8500,8369
44006 Alacón,11992,10928,9702,9361,9239
4400601 Alacón distrito 01,11992,10928,9702,9361,9239
4400601001 Alacón sección 01001,11992,10928,9702,9361,9239
50007 Aladrén,.,.,.,.,.
5000701 Aladrén distrito 01,.,.,.,.,.
5000701001 Aladrén sección 01001,.,.,.,.,.
47004 Alaejos,10618,10413,9800,9306,8615
4700401 Alaejos distrito 01,10618,10413,9800,9306,8615
4700401001 Alaejos sección 01001,10845,10536,10083,9130,8894
4700401002 Alaejos sección 01002,10362,10274,9501,9490,8317
50008 Alagón,12424,11886,11474,10970,10820
5000801 Alagón distrito 01,12424,11886,11474,10970,10820
5000801001 Alagón sección 01001,12539,12034,11727,11438,11251
5000801002 Alagón sección 01002,12176,11607,11113,10463,10578
5000801003 Alagón sección 01003,11870,11439,10969,10525,10149
5000801004 Alagón sección 01004,13375,12692,12367,11805,11672
10903 Alagón del Río,8636,8090,7436,7134,7078
1090301 Alagón del Río distrito 01,8636,8090,7436,7134,7078
1090301001 Alagón del Río sección 01001,8636,8090,7436,7134,7078
07002 Alaior,12801,12227,11686,10723,10607
0700201 Alaior distrito 01,13521,12900,12238,11219,10976
0700201001 Alaior sección 01001,13068,12724,12181,11005,10849
0700201002 Alaior sección 01002,14000,13089,12298,11452,11110
0700202 Alaior distrito 02,12312,11769,11303,10390,10350
0700202001 Alaior sección 02001,12727,12011,11438,10780,10525
0700202002 Alaior sección 02002,12837,12096,11733,11357,11070
0700202003 Alaior sección 02003,11272,11101,10662,9126,9481
21001 Alájar,7959,7136,6986,6673,6067
2100101 Alájar distrito 01,7959,7136,6986,6673,6067
2100101001 Alájar sección 01001,7959,7136,6986,6673,6067
38003 Alajeró,11243,10678,9930,9538,9399
3800301 Alajeró distrito 01,11243,10678,9930,9538,9399
3800301001 Alajeró sección 01001,11243,10678,9930,9538,9399
29001 Alameda,8223,7799,7289,6966,6856
2900101 Alameda distrito 01,8223,7799,7289,6966,6856
2900101001 Alameda sección 01001,8199,7820,7239,6802,6764
2900101002 Alameda sección 01002,8508,8209,7743,7580,7549
2900101003 Alameda sección 01003,7751,7410,6906,6686,6457
2900101004 Alameda sección 01004,8446,7754,7304,6923,6727
"37005 Alameda de Gardón, La",.,.,.,.,.
"3700501 Alameda de Gardón, La distrito 01",.,.,.,.,.
"3700501001 Alameda de Gardón, La sección 01001",.,.,.,.,.
45002 Alameda de la Sagra,9485,8324,8036,7636,7332
4500201 Alameda de la Sagra distrito 01,9485,8324,8036,7636,7332
4500201001 Alameda de la Sagra sección 01001,9867,8654,8321,7958,7562
4500201002 Alameda de la Sagra sección 01002,9181,8057,7801,7371,7135
28003 Alameda del Valle,15841,15153,15419,14638,13878
2800301 Alameda del Valle distrito 01,15841,15153,15419,14638,13878
2800301001 Alameda del Valle sección 01001,15841,15153,15419,14638,13878
18002 Alamedilla,9171,9053,8753,8338,8006
1800201 Alamedilla distrito 01,9171,9053,8753,8338,8006
1800201001 Alamedilla sección 01001,9171,9053,8753,8338,8006
"37006 Alamedilla, La",11080,9963,9444,10183,9955
"3700601 Alamedilla, La distrito 01",11080,9963,9444,10183,9955
"3700601001 Alamedilla, La sección 01001",11080,9963,9444,10183,9955
13003 Alamillo,10664,9774,9288,8794,9026
1300301 Alamillo distrito 01,10664,9774,9288,8794,9026
1300301001 Alamillo sección 01001,10664,9774,9288,8794,9026
19004 Alaminos,.,.,.,.,.
1900401 Alaminos distrito 01,.,.,.,.,.
1900401001 Alaminos sección 01001,.,.,.,.,.
"28004 Álamo, El",10382,9936,9570,9240,9105
"2800401 Álamo, El distrito 01",10382,9936,9570,9240,9105
"2800401001 Álamo, El sección 01001",9780,9594,9308,9005,8966
"2800401002 Álamo, El sección 01002",10951,10284,9907,9499,9510
"2800401003 Álamo, El sección 01003",9883,9559,9176,8716,8423
"2800401004 Álamo, El sección 01004",10909,10322,9841,9857,9474
"25004 Alamús, Els",13094,12560,11642,11598,11375
"2500401 Alamús, Els distrito 01",13094,12560,11642,11598,11375
"2500401001 Alamús, Els sección 01001",13094,12560,11642,11598,11375
06004 Alange,8863,8451,7900,7566,7403
0600401 Alange distrito 01,8863,8451,7900,7566,7403
0600401001 Alange sección 01001,8263,7717,7136,6806,6706
0600401002 Alange sección 01002,9442,9172,8658,8310,8089
41002 Alanís,8033,7701,7338,7002,6778
4100201 Alanís distrito 01,8033,7701,7338,7002,6778
4100201001 Alanís sección 01001,8122,7806,7399,7267,6982
4100201002 Alanís sección 01002,7950,7599,7278,6746,6581
46005 Alaquàs,10762,10275,9668,9179,8870
4600501 Alaquàs distrito 01,10731,10154,9625,9054,8736
4600501001 Alaquàs sección 01001,11738,11156,10630,9939,9667
4600501002 Alaquàs sección 01002,13659,12762,11903,11200,11481
4600501003 Alaquàs sección 01003,9630,9222,8856,8386,8074
4600501004 Alaquàs sección 01004,11525,10857,10258,9650,9399
4600501005 Alaquàs sección 01005,10612,10113,9863,9135,8863
4600501006 Alaquàs sección 01006,9845,9381,8756,8265,7667
4600501007 Alaquàs sección 01007,10044,9411,8923,8418,8039
4600501008 Alaquàs sección 01008,9109,8377,8013,7658,7241
4600501010 Alaquàs sección 01010,10312,9808,9176,8667,8225
4600502 Alaquàs distrito 02,11144,10674,9978,9508,9185
4600502001 Alaquàs sección 02001,10329,10047,9673,9097,8492
4600502002 Alaquàs sección 02002,11447,10889,10071,9550,9252
4600502003 Alaquàs sección 02003,10029,9485,8808,8580,8260
4600502004 Alaquàs sección 02004,10908,10464,9519,9164,8872
4600502005 Alaquàs sección 02005,11757,11156,10583,9746,9387
4600502006 Alaquàs sección 02006,9285,9040,8606,8316,8013
4600502007 Alaquàs sección 02007,14407,13728,12922,12589,12746
4600503 Alaquàs distrito 03,10175,9798,9227,8832,8565
4600503001 Alaquàs sección 03001,10529,10239,9463,9157,8669
4600503002 Alaquàs sección 03002,9706,9504,8925,8387,8237
4600503003 Alaquàs sección 03003,9506,9212,8782,8408,8209
4600503004 Alaquàs sección 03004,10569,10043,9422,9100,8994
4600503005 Alaquàs sección 03005,10348,9883,9375,8960,8558
34005 Alar del Rey,12075,11620,11004,10760,10162
3400501 Alar del Rey distrito 01,12075,11620,11004,10760,10162
3400501001 Alar del Rey sección 01001,12075,11620,11004,10760,10162
37007 Alaraz,11098,10497,10507,9848,9238
3700701 Alaraz distrito 01,11098,10497,10507,9848,9238
3700701001 Alaraz sección 01001,11098,10497,10507,9848,9238
50009 Alarba,8652,8665,7453,7907,9091
5000901 Alarba distrito 01,8652,8665,7453,7907,9091
5000901001 Alarba sección 01001,8652,8665,7453,7907,9091
16003 Alarcón,10268,9547,8972,9113,8529
1600301 Alarcón distrito 01,10268,9547,8972,9113,8529
1600301001 Alarcón sección 01001,10268,9547,8972,9113,8529
19005 Alarilla,11129,9562,8736,9569,9156
1900501 Alarilla distrito 01,11129,9562,8736,9569,9156
1900501001 Alarilla sección 01001,11129,9562,8736,9569,9156
07001 Alaró,13640,13415,12327,11601,11822
0700101 Alaró distrito 01,13841,13654,12469,11733,11926
0700101001 Alaró sección 01001,13058,13431,11782,11012,11217
0700101002 Alaró sección 01002,14995,13979,13483,12741,12968
0700102 Alaró distrito 02,12590,12165,11614,10932,11309
0700102001 Alaró sección 02001,12590,12165,11614,10932,11309
25005 Alàs i Cerc,12453,9135,11749,11000,11007
2500501 Alàs i Cerc distrito 01,12453,9135,11749,11000,11007
2500501001 Alàs i Cerc sección 01001,12453,9135,11749,11000,11007
02002 Alatoz,9596,9255,8540,8008,7880
0200201 Alatoz distrito 01,9596,9255,8540,8008,7880
0200201001 Alatoz sección 01001,9596,9255,8540,8008,7880
44007 Alba,12233,11586,10123,9972,9036
4400701 Alba distrito 01,12233,11586,10123,9972,9036
4400701001 Alba sección 01001,12233,11586,10123,9972,9036
34006 Alba de Cerrato,.,.,.,.,.
3400601 Alba de Cerrato distrito 01,.,.,.,.,.
3400601001 Alba de Cerrato sección 01001,.,.,.,.,.
37008 Alba de Tormes,10577,10111,9807,9275,9122
3700801 Alba de Tormes distrito 01,10577,10111,9807,9275,9122
3700801001 Alba de Tormes sección 01001,12059,11517,11237,10773,10745
3700801002 Alba de Tormes sección 01002,10140,9774,9381,8855,8816
3700801003 Alba de Tormes sección 01003,9859,9375,9109,8523,8191
37009 Alba de Yeltes,10976,10883,10058,9344,9081
3700901 Alba de Yeltes distrito 01,10976,10883,10058,9344,9081
3700901001 Alba de Yeltes sección 01001,10976,10883,10058,9344,9081
02003 Albacete,12282,11713,11223,10795,10515
0200301 Albacete distrito 01,13991,13391,12886,12465,12153
0200301001 Albacete sección 01001,18510,16702,16792,15327,14678
0200301002 Albacete sección 01002,16091,15626,14958,14450,14414
0200301003 Albacete sección 01003,16895,16544,16108,16101,15332
0200301004 Albacete sección 01004,19392,18844,17571,17526,17235
0200301005 Albacete sección 01005,15642,15454,14666,14507,13894
0200301006 Albacete sección 01006,12293,11441,11016,10620,10265
0200301007 Albacete sección 01007,16096,14812,14267,13500,13715
0200301008 Albacete sección 01008,13658,12857,12208,11896,11423
0200301009 Albacete sección 01009,14796,14759,14648,13390,13136
0200301010 Albacete sección 01010,12092,11276,10554,10195,9895
0200301011 Albacete sección 01011,9985,9625,9184,8774,8589
0200301012 Albacete sección 01012,16615,15907,15292,14676,14238
0200301013 Albacete sección 01013,12427,11647,11052,10972,10929
0200301014 Albacete sección 01014,13429,12552,12553,12100,11837
0200301015 Albacete sección 01015,13495,12772,12113,11791,11254
0200301016 Albacete sección 01016,15181,14789,14192,13336,13658
0200301017 Albacete sección 01017,11669,11163,10500,10096,9708
0200302 Albacete distrito 02,11451,10877,10318,9859,9594
0200302001 Albacete sección 02001,13414,13091,12304,12015,11367
0200302002 Albacete sección 02002,12503,12046,11397,10766,10788
0200302003 Albacete sección 02003,13580,12837,12455,11885,11775
0200302004 Albacete sección 02004,11958,11152,10494,10019,9807
0200302005 Albacete sección 02005,10062,9758,8959,8565,8118
0200302006 Albacete sección 02006,10114,9618,9037,8565,8348
0200302007 Albacete sección 02007,9787,9539,8895,8467,8230
0200302008 Albacete sección 02008,9382,8920,8407,7910,7607
0200302009 Albacete sección 02009,12489,11869,11623,11061,10947
0200302010 Albacete sección 02010,12633,11855,11030,10342,9984
0200302011 Albacete sección 02011,11379,10207,10096,9539,9604
0200302012 Albacete sección 02012,11439,10649,10016,9657,9338
0200302013 Albacete sección 02013,15231,14962,14239,13699,13041
0200302014 Albacete sección 02014,10755,10034,9434,9134,8770
0200302015 Albacete sección 02015,10077,9477,8803,8378,8214
0200302016 Albacete sección 02016,12603,12131,11525,11154,10693
0200302017 Albacete sección 02017,10205,9651,9209,8630,8536
0200302018 Albacete sección 02018,13337,12542,11787,11248,10826
0200302019 Albacete sección 02019,9124,8309,8213,7585,7203
0200302020 Albacete sección 02020,8637,8182,7642,7160,6933
0200302021 Albacete sección 02021,10458,9990,9511,9127,9012
0200302022 Albacete sección 02022,12116,11474,11146,10715,10313
0200302023 Albacete sección 02023,10055,9691,9237,8853,8829
0200302024 Albacete sección 02024,13047,12634,12193,12176,12328
0200303 Albacete distrito 03,11012,10438,10009,9652,9336
0200303001 Albacete sección 03001,14778,13979,13634,13418,12859
0200303002 Albacete sección 03002,13292,12806,12475,11923,11472
0200303003 Albacete sección 03003,11105,10877,10532,10099,9533
0200303004 Albacete sección 03004,10955,10294,9866,9587,9350
0200303005 Albacete sección 03005,10242,9639,9356,8984,8658
0200303006 Albacete sección 03006,9446,8986,8492,8225,7890
0200303007 Albacete sección 03007,9899,9174,8819,8519,8149
0200303008 Albacete sección 03008,9272,8618,8261,7846,7629
0200303009 Albacete sección 03009,9235,8834,8583,8205,8041
0200303010 Albacete sección 03010,14964,13938,12991,12624,12126
0200303011 Albacete sección 03011,19370,18206,17099,16945,16290
0200303012 Albacete sección 03012,9531,8864,8482,8067,7968
0200303013 Albacete sección 03013,9253,8722,8540,7971,7791
0200303014 Albacete sección 03014,8924,8709,7966,7455,7363
0200304 Albacete distrito 04,10845,10394,10035,9751,9506
0200304001 Albacete sección 04001,12189,11500,11090,10964,10879
0200304002 Albacete sección 04002,10638,10026,9561,9270,9152
0200304003 Albacete sección 04003,12432,11381,11078,10930,10448
0200304004 Albacete sección 04004,10836,10423,10345,10057,9997
0200304005 Albacete sección 04005,9872,9390,8979,8661,8551
0200304006 Albacete sección 04006,8579,8019,7764,7388,7327
0200304007 Albacete sección 04007,12680,12097,11480,11306,10989
0200304008 Albacete sección 04008,10982,10560,10087,9789,9524
0200304009 Albacete sección 04009,10476,9915,9735,9306,9062
0200304010 Albacete sección 04010,12672,12260,11922,11903,11112
0200304011 Albacete sección 04011,10844,10516,10111,9849,9671
0200304012 Albacete sección 04012,9256,8772,8294,8030,7827
0200304013 Albacete sección 04013,10793,10462,10167,9513,9154
0200304014 Albacete sección 04014,10438,10597,10237,10052,9730
0200305 Albacete distrito 05,11487,10987,10482,10198,9903
0200305001 Albacete sección 05001,16190,16099,14168,14633,13755
0200305002 Albacete sección 05002,12752,12624,11889,11383,11283
0200305003 Albacete sección 05003,14514,13258,13150,12752,12774
0200305004 Albacete sección 05004,9762,9295,8906,8753,8546
0200305005 Albacete sección 05005,9607,9723,9427,8897,8478
0200305006 Albacete sección 05006,9792,9429,8894,8620,8287
0200305007 Albacete sección 05007,10663,10113,9718,9333,9060
0200305008 Albacete sección 05008,9495,8840,8407,8094,7669
0200305009 Albacete sección 05009,10591,9937,9526,9247,8979
0200305010 Albacete sección 05010,15316,14584,14086,13540,12896
0200305011 Albacete sección 05011,11349,10597,10209,9936,9765
0200305012 Albacete sección 05012,.,.,8886,8763,8801
0200305013 Albacete sección 05013,9659,9083,8685,8321,8180
0200306 Albacete distrito 06,16918,16195,15658,14801,14629
0200306001 Albacete sección 06001,21353,19632,19318,17379,17464
0200306002 Albacete sección 06002,17056,16701,16351,15398,15510
0200306003 Albacete sección 06003,20361,18999,18791,18100,17426
0200306004 Albacete sección 06004,14413,13542,13413,13009,13159
0200306005 Albacete sección 06005,14568,15049,14470,13358,12827
0200306006 Albacete sección 06006,11792,11305,10674,10017,9551
0200306007 Albacete sección 06007,17224,16771,15724,15104,15201
0200306008 Albacete sección 06008,17983,17037,16278,14874,15020
0200306009 Albacete sección 06009,19337,18449,17888,16472,16534
0200306010 Albacete sección 06010,17243,16447,15858,15596,14991
0200306011 Albacete sección 06011,17484,16577,16232,14850,14822
0200306012 Albacete sección 06012,16357,16231,15892,14688,14470
0200306013 Albacete sección 06013,15034,14353,13564,13075,12863
0200306014 Albacete sección 06014,16524,15777,15002,14511,14172
0200307 Albacete distrito 07,11611,11001,10532,10138,9833
0200307001 Albacete sección 07001,14137,13235,12742,12412,12240
0200307002 Albacete sección 07002,12420,11638,11268,10842,11046
0200307003 Albacete sección 07003,10782,10407,9765,9268,8712
0200307004 Albacete sección 07004,13457,12922,12651,11923,11698
0200307005 Albacete sección 07005,10755,10179,9936,9544,9078
0200307006 Albacete sección 07006,11688,10801,10275,10002,9711
0200307007 Albacete sección 07007,4576,4215,3787,3636,3445
0200307008 Albacete sección 07008,12756,11811,11379,10838,10524
