fecha,indicativo,tmin,longitud,latitud
2021-01-08,0324A,-7.2,2.196111,42.191389
2021-01-08,5995B,9,-5.965,36.245556
2021-01-08,1473A,-1.5,-8.627222,42.738333
2021-01-08,1024E,0,-2.041111,43.306389
2021-01-08,9619,-10.4,1.463056,42.354722
2021-01-08,5427X,4.2,-4.353889,37.556111
2021-01-08,1082,-0.3,-2.906389,43.298056
2021-01-08,B569X,6.9,3.478056,39.716667
2021-01-08,7145D,1.6,-1.380556,38.232778
2021-01-08,5402,5.5,-4.846667,37.848889
2021-01-08,1387E,-3.2,-8.371944,43.306944
2021-01-08,5641X,6.8,-5.085,37.516111
2021-01-08,4148,-0.1,-3.566667,38.518056
2021-01-08,1002Y,-4.6,-1.543056,43.135833
2021-01-08,6058I,10.2,-5.155,36.416944
2021-01-08,9898,-6.7,-0.325556,42.084444
2021-01-08,9569A,-3.4,-0.237778,40.946667
2021-01-08,1505,-4.1,-7.4575,43.111389
2021-01-08,2661,-8.1,-5.651111,42.588333
2021-01-08,7096B,-0.1,-1.703056,38.541944
2021-01-08,5960,6.8,-6.055833,36.750556
2021-01-08,9434P,-1.6,-0.935,41.620833
2021-01-08,8019,6.3,-0.570833,38.282778
2021-01-08,8500A,4.2,-0.071944,39.957222
2021-01-08,5796,6.8,-5.611389,37.164444
2021-01-08,5047E,1,-2.735,37.505833
2021-01-08,5972X,8.1,-6.205556,36.465556
2021-01-08,1475X,-0.3,-8.555833,42.876111
2021-01-08,0076,1.2,2.07,41.292778
2021-01-08,4061X,1.3,-3.046944,39.5975
2021-01-08,3110C,-9.3,-3.613611,41.006944
2021-01-08,9990X,-12.7,0.876944,42.700278
2021-01-08,8325X,4.6,-0.371944,39.184722
2021-01-08,2867,-6.4,-5.498333,40.959444
2021-01-08,B346X,5.8,3.019167,39.521667
2021-01-08,2235U,-6.6,-4.52,42.870556
2021-01-08,1221D,-8.2,-5.776389,42.978611
2021-01-08,2775X,-8.9,-6.279722,41.941389
2021-01-08,9981A,1.2,0.493333,40.820278
2021-01-08,3434X,-2,-5.5825,39.945833
2021-01-08,1041A,-1.3,-2.251111,43.302222
2021-01-08,4267X,2.2,-5.121111,38.498611
2021-01-08,9294E,-5.6,-1.475278,42.198611
2021-01-08,4386B,1.3,-6.016944,38.231667
2021-01-08,4452,1.4,-6.813889,38.883333
2021-01-08,3391,-0.8,-4.590833,40.288611
2021-01-08,5390Y,1.2,-4.608889,38.333056
2021-01-08,9263X,-5.6,-1.5325,42.776111
2021-01-08,3111D,-9.4,-3.580278,41.135556
2021-01-08,3013,-4.5,-1.878889,40.841667
